Vc   ,Fz,Ax,Ra,Rt,,,,,,,
7.5,0.05,0.75,1.308333333,2.453333333,,,,,,,
7.5,0.075,1,0.303333333,2.536666667,,,,,,,
7.5,0.1,1.25,0.101666667,0.653333333,,,,,,,
7.5,0.125,1.5,0.285,2.19,,,,,,,
7.5,0.05,1,0.411666667,3.521666667,,,,,,,
7.5,0.075,1.25,0.221666667,1.775,,,,,,,
7.5,0.1,1.5,0.353333333,3.326666667,,,,,,,
7.5,0.15,0.75,0.676666667,5.756666667,,,,,,,
7.5,0.05,1.25,0.378333333,4.155,,,,,,,
7.5,0.075,1.5,0.401666667,4.3,,,,,,,
7.5,0.125,0.75,0.921666667,6.961666667,,,,,,,
7.5,0.15,1,1.098333333,7.208333333,,,,,,,
7.5,0.05,1.5,0.271666667,2.32,,,,,,,
7.5,0.1,0.75,0.733333333,8.521666667,,,,,,,
7.5,0.125,1,0.846666667,5.978333333,,,,,,,
7.5,0.15,1.25,0.708333333,5.668333333,,,,,,,
7.5,0.075,0.75,0.61,4.715,,,,,,,
7.5,0.1,1,0.7,5.805,,,,,,,
7.5,0.125,1.25,0.566666667,4.591666667,,,,,,,
