,MSE,RMSE,RMSE_%,MAE,MAE_%,MBE,MBE_%,MAPE,R2
SVR,0.09642623813807802,0.31052574472671024,37.54705871835179,0.2341838414047383,28.316217232975077,-0.04122991292321411,-4.985293450766477,38.83086240730946,0.3942457600071808
GPR,0.09470278835709055,0.30773818150676485,37.21000196322664,0.24364152259486002,29.45978782902172,-0.004156425930905949,-0.5025720769901171,46.6304792585974,0.4050725539629184
RandomForest,0.06420709773551016,0.2533911950631082,30.63866439840951,0.18559536913156705,22.44116741035454,-0.004792692473525426,-0.5795059146572046,35.55900398054586,0.5966479410383659
GradientBoosting,0.05831797225643821,0.2414911432256641,29.199775827398504,0.1734329650499254,20.970556654355473,-0.000899232041703976,-0.10873017405045562,33.871048270214224,0.6336437089712523
PowerLaw,0.1297176307392413,0.3601633389716967,43.54896257786749,0.27483604538475115,33.23165730771444,-0.07934948074653346,-9.594501143481342,44.202526643065355,0.1851076393792367
Weighted_Ensemble,0.08987814477240283,0.2997968391634622,36.249778689214565,0.2335290080013671,28.237038393008827,-0.021298604813897132,-2.5753097098927227,42.200412391974915,0.4353811957217495
Stacking_Ensemble,0.05867664915139727,0.2422326343649783,29.289432842379565,0.17694045335319378,21.39466277603197,-6.810611831734154e-17,-8.235015830300264e-15,34.10565863753764,0.6313904835618177
