,SVR,GPR,RandomForest,GradientBoosting
Vc,0.6355654093958879,0.5772159013070364,0.7799967820496683,0.7792052209434467
Fz,0.49106482297925513,0.5131758948944626,0.4311820180571452,0.39125020392261556
ap,0.398387499276141,0.4359440777257818,0.296479695501186,0.31818221294001203
